ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2639905,IPADPRO12.9IA2378256SPACA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,256GB,Space Grey,A Grade,"",,
2639906,IPADPRO12.9IA23782TBSILVA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,2TB,Silver,A Grade,"",,
2639907,IPADPRO12.9IA23782TBSPACA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,2TB,Space Grey,A Grade,"",,
2639908,IPADPRO12.9IA2378512SILVA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,512GB,Silver,A Grade,"",,
2639909,IPADPRO12.9IA2378512SPACA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,512GB,Space Grey,A Grade,"",,
2639911,IPADPRO12.9IA167064GBLACB,Apple,iPad Pro 12.9 inch 2nd Gen,A1670,Wi-Fi,64GB,Black,B Grade,"",,
2639915,IPADPRO12.9IA1671512BLACA,Apple,iPad Pro 12.9 inch 2nd Gen,A1671,Wi-Fi,512GB,Black,A Grade,"",,
2639916,IPADPRO12.9IA167164GBLACD,Apple,iPad Pro 12.9 inch 2nd Gen,A1671,Wi-Fi,64GB,Black,D Grade,"",,
2639917,LATITUDE5430512GREYN,Dell,"Latitude 5430 (14-inch, 2022)","(8GB RAM, i5 1235U)",Wi-Fi,512GB,Grey,NEW,"",,
2640147,LATITUDE5440256GREYN,Dell,"Latitude 5440 (14-inch, 2023)","(16GB RAM, i5 1335U)",Wi-Fi,256GB,Grey,NEW,"",,
2640501,GALAXYNOTE20SM-981U128MYSTC,Samsung,Galaxy Note 20 5G,SM-981U,Wi-Fi,128GB,Mystic Bronze,C Grade,"",,
2640516,GALAXYS215GSM-G991128GREYC,Samsung,Galaxy S21 5G,SM-G991,Wi-Fi,128GB,Grey,C Grade,"",,
